,shape,price,carat,cut,color,clarity,report,type
0,9,400,0.3,4,6,3,1,1
1,2,400,0.31,2,5,2,1,1
2,2,400,0.3,2,5,5,1,1
3,9,400,0.3,2,5,3,1,1
4,2,400,0.3,2,5,2,1,1
5,2,410,0.31,2,1,3,1,1
6,9,410,0.3,2,6,3,1,1
7,9,410,0.3,4,6,3,1,1
8,4,410,0.3,2,6,5,1,1
9,2,410,0.31,2,5,6,1,1
10,9,410,0.3,2,6,2,1,1
11,9,410,0.3,4,5,3,1,1
12,2,410,0.3,2,5,5,1,1
13,9,410,0.3,4,6,2,1,1
14,2,410,0.3,2,1,3,1,1
15,2,410,0.3,4,6,4,1,1
16,9,410,0.3,4,2,3,1,1
17,7,420,0.3,2,3,3,1,1
18,9,420,0.33,3,6,3,1,1
19,9,420,0.3,4,5,3,1,1
20,6,420,0.3,2,5,2,1,1
21,9,420,0.3,4,6,3,1,1
22,9,420,0.38,4,6,2,1,1
23,2,420,0.3,2,6,4,1,1
24,9,420,0.3,3,5,3,1,1
25,2,420,0.3,2,5,2,1,1
26,9,420,0.33,4,5,3,1,1
27,7,420,0.32,2,6,3,1,1
28,4,420,0.3,1,2,2,1,1
29,9,420,0.3,4,6,2,1,1
30,9,420,0.3,2,5,2,1,1
31,2,420,0.3,2,2,3,1,1
32,2,420,0.33,2,6,2,1,1
33,2,420,0.3,4,3,2,1,1
34,2,420,0.3,3,6,4,1,1
35,2,420,0.3,2,6,5,1,1
36,2,430,0.3,2,4,2,1,1
37,2,430,0.3,2,2,3,1,1
38,9,430,0.31,3,5,2,1,1
39,9,430,0.3,4,5,2,1,1
40,9,430,0.3,3,5,3,1,1
41,9,430,0.3,2,3,3,1,1
42,9,430,0.3,4,6,5,1,1
43,9,430,0.31,3,5,3,1,1
44,7,430,0.3,2,1,2,1,1
45,9,430,0.3,3,5,2,1,1
46,9,430,0.3,3,6,2,1,1
47,9,430,0.3,2,5,2,1,1
48,9,430,0.3,2,6,3,1,1
49,9,430,0.3,4,6,3,1,1
50,9,430,0.32,3,6,3,1,1
51,6,430,0.3,1,5,5,1,1
52,9,430,0.32,3,6,2,1,1
53,9,430,0.3,4,5,3,1,1
54,2,430,0.3,2,2,2,1,1
55,4,430,0.33,2,5,2,1,1
56,4,430,0.3,2,2,3,1,1
57,2,440,0.31,2,0,3,1,1
58,2,440,0.3,4,2,2,1,1
59,9,440,0.31,2,5,5,1,1
60,9,440,0.3,2,6,5,1,1
61,9,440,0.3,3,6,2,1,1
62,9,440,0.3,4,6,2,1,1
63,6,440,0.3,2,5,2,1,1
64,7,440,0.3,3,5,2,1,1
65,2,440,0.3,3,3,3,1,1
66,9,440,0.3,1,4,3,1,1
67,9,440,0.3,4,2,3,1,1
68,9,440,0.3,2,4,3,1,1
69,9,440,0.3,2,5,3,1,1
70,9,440,0.3,3,4,3,1,1
71,9,440,0.3,1,5,5,1,1
72,2,440,0.3,2,2,2,1,1
73,9,440,0.3,1,4,2,1,1
74,9,440,0.3,4,5,5,1,1
75,9,440,0.3,3,5,5,1,1
76,9,440,0.3,3,5,2,1,1
77,9,440,0.3,3,5,3,1,1
78,9,440,0.3,4,5,2,1,1
79,9,440,0.3,3,6,3,1,1
80,2,440,0.3,2,3,2,1,1
81,7,440,0.3,2,5,4,1,1
82,9,440,0.3,4,3,3,1,1
83,9,440,0.33,2,6,2,1,1
84,9,440,0.3,2,2,3,1,1
85,9,440,0.3,4,6,5,1,1
86,6,440,0.3,2,6,5,1,1
87,2,440,0.31,2,6,4,1,1
88,2,450,0.3,2,1,3,1,1
89,4,450,0.31,2,5,5,1,1
90,2,450,0.3,2,5,4,1,1
91,4,450,0.3,4,2,2,1,1
92,9,450,0.32,3,6,5,1,1
93,9,450,0.3,3,6,5,1,1
94,9,450,0.3,4,2,3,1,1
95,9,450,0.31,3,6,5,1,1
96,9,450,0.3,4,1,3,1,1
97,9,450,0.3,2,6,3,1,1
98,9,450,0.3,4,5,2,1,1
99,7,450,0.3,2,6,6,1,1
100,2,450,0.3,3,5,5,1,1
101,9,450,0.3,4,6,5,1,1
102,9,450,0.3,4,4,2,1,1
103,9,450,0.31,2,5,5,1,1
104,9,450,0.3,3,5,5,1,1
105,9,450,0.31,3,2,3,1,1
106,9,450,0.3,4,6,2,1,1
107,9,450,0.3,3,6,2,1,1
108,6,450,0.3,4,5,4,1,1
109,6,450,0.3,2,5,2,1,1
110,9,450,0.31,3,6,3,1,1
111,9,450,0.3,2,6,2,1,1
112,6,450,0.33,2,5,2,1,1
113,2,450,0.32,2,5,2,1,1
114,9,450,0.3,3,5,3,1,1
115,9,450,0.31,2,6,6,1,1
116,9,450,0.3,3,6,3,1,1
117,9,450,0.3,3,5,2,1,1
118,9,450,0.3,4,6,3,1,1
119,9,450,0.3,2,1,3,1,1
120,9,450,0.3,4,5,3,1,1
121,9,450,0.3,2,5,3,1,1
122,2,450,0.3,2,5,7,1,1
123,2,450,0.3,2,5,6,1,1
124,2,450,0.3,2,3,2,1,1
125,2,450,0.34,2,4,2,1,1
126,4,450,0.3,2,3,2,1,1
127,2,450,0.3,2,5,2,1,1
128,9,450,0.3,2,6,4,1,1
129,9,450,0.33,3,6,2,1,1
130,9,450,0.32,2,5,5,1,1
131,9,450,0.3,3,6,4,1,1
132,9,450,0.3,2,5,2,1,1
133,2,450,0.3,4,3,2,1,1
134,6,450,0.3,2,4,2,1,1
135,9,450,0.31,3,5,2,1,1
136,9,450,0.31,3,4,2,1,1
137,9,450,0.31,3,4,3,1,1
138,9,450,0.34,3,6,3,1,1
139,9,450,0.33,2,5,3,1,1
140,9,450,0.31,4,6,3,1,1
141,2,450,0.3,3,2,3,1,1
142,7,460,0.3,2,4,5,1,1
143,2,460,0.3,2,3,2,1,1
144,6,460,0.3,2,6,7,1,1
145,9,460,0.3,2,6,2,1,1
146,9,460,0.31,3,4,2,1,1
147,9,460,0.31,4,4,2,1,1
148,9,460,0.32,3,4,3,1,1
149,9,460,0.3,3,6,3,1,1
150,9,460,0.3,4,3,3,1,1
151,9,460,0.3,4,6,4,1,1
152,6,460,0.3,2,5,4,1,1
153,7,460,0.3,2,2,3,1,1
154,2,460,0.3,2,0,3,1,1
155,4,460,0.3,4,5,6,1,1
156,9,460,0.3,4,6,5,1,1
157,2,460,0.3,2,5,5,1,1
158,9,460,0.31,3,5,5,1,1
159,9,460,0.31,2,2,3,1,1
160,9,460,0.3,2,1,3,1,1
161,9,460,0.3,4,5,3,1,1
162,9,460,0.3,4,2,3,1,1
163,9,460,0.35,3,6,2,1,1
164,6,460,0.32,2,5,2,1,1
165,6,460,0.3,4,2,3,1,1
166,2,460,0.35,2,3,3,1,1
167,9,460,0.3,3,5,5,1,1
168,9,460,0.3,3,6,4,1,1
169,9,460,0.33,2,6,3,1,1
170,9,460,0.32,2,6,2,1,1
171,9,460,0.33,3,5,3,1,1
172,9,460,0.3,3,4,2,1,1
173,9,460,0.3,4,6,2,1,1
174,2,460,0.34,2,5,5,1,1
175,4,460,0.3,4,5,7,1,1
176,9,460,0.31,3,6,4,1,1
177,9,460,0.3,3,3,3,1,1
178,9,460,0.33,3,6,3,1,1
179,9,460,0.3,3,6,2,1,1
180,9,460,0.3,2,4,2,1,1
181,9,460,0.3,4,5,2,1,1
182,7,460,0.26,4,3,4,1,1
183,2,460,0.3,3,5,4,1,1
184,2,460,0.3,2,1,2,1,1
185,2,460,0.33,2,5,2,1,1
186,9,460,0.3,2,5,5,1,1
187,9,460,0.37,3,6,3,1,1
188,9,460,0.31,3,6,3,1,1
189,9,460,0.3,3,5,2,1,1
190,9,460,0.3,4,3,2,1,1
191,9,460,0.3,2,5,6,1,1
192,9,460,0.31,3,6,2,1,1
193,7,470,0.25,4,1,5,1,1
194,6,470,0.32,2,3,3,1,1
195,6,470,0.3,1,1,3,1,1
196,2,470,0.32,2,1,2,1,1
197,6,470,0.3,2,5,5,1,1
198,2,470,0.33,2,5,2,1,1
199,9,470,0.25,3,2,2,1,1
200,9,470,0.3,4,6,4,1,1
201,9,470,0.34,3,6,5,1,1
202,9,470,0.35,2,6,3,1,1
203,9,470,0.3,4,3,3,1,1
